{ GO:0005634 } => { GO:0016070 }, sup=497 conf=0.56 lift=2.36
{ PMID:10971589 } => { GO:0005737 GO:0016020 GO:0005739 GO:0005740 PMID:16823961 PMID:14576278 GO:0006091 PMID:16641319 GO:0016491 PATH:00190 PMID:2826438 PMID:3036820 PMID:6088503 PMID:16597436 PMID:10692548 PMID:17145759 PMID:9478928 PMID:10764779 PMID:15039445 PMID:4309989 PMID:6282857 PMID:3036818 PMID:16987808 PMID:11700316 PMID:10531315 PMID:4358612 PMID:11148026 PMID:12788490 PMID:2842335 PMID:12791689 PMID:2163487 PMID:6294076 PMID:12377760 PMID:12782631 PMID:17383607 PMID:171256 PMID:16908520 }, sup=9 conf=1.0 lift=273.78
{ PMID:9478928 } => { GO:0005737 GO:0016020 GO:0005739 GO:0005740 PMID:16823961 PMID:14576278 GO:0006091 PMID:16641319 GO:0016491 PATH:00190 PMID:2826438 PMID:3036820 PMID:6088503 PMID:16597436 PMID:10692548 PMID:17145759 PMID:10971589 PMID:10764779 PMID:15039445 PMID:4309989 PMID:6282857 PMID:3036818 PMID:16987808 PMID:11700316 PMID:10531315 PMID:4358612 PMID:11148026 PMID:12788490 PMID:2842335 PMID:12791689 PMID:2163487 PMID:6294076 PMID:12377760 PMID:12782631 PMID:17383607 PMID:171256 PMID:16908520 }, sup=9 conf=1.0 lift=273.78
{ PMID:17145759 } => { GO:0005737 GO:0016020 GO:0005739 GO:0005740 PMID:16823961 PMID:14576278 GO:0006091 PMID:16641319 GO:0016491 PATH:00190 PMID:2826438 PMID:3036820 PMID:6088503 PMID:16597436 PMID:10692548 PMID:9478928 PMID:10971589 PMID:10764779 PMID:15039445 PMID:4309989 PMID:6282857 PMID:3036818 PMID:16987808 PMID:11700316 PMID:10531315 PMID:4358612 PMID:11148026 PMID:12788490 PMID:2842335 PMID:12791689 PMID:2163487 PMID:6294076 PMID:12377760 PMID:12782631 PMID:17383607 PMID:171256 PMID:16908520 }, sup=9 conf=1.0 lift=273.78
{ PMID:10692548 } => { GO:0005737 GO:0016020 GO:0005739 GO:0005740 PMID:16823961 PMID:14576278 GO:0006091 PMID:16641319 GO:0016491 PATH:00190 PMID:2826438 PMID:3036820 PMID:6088503 PMID:16597436 PMID:17145759 PMID:9478928 PMID:10971589 PMID:10764779 PMID:15039445 PMID:4309989 PMID:6282857 PMID:3036818 PMID:16987808 PMID:11700316 PMID:10531315 PMID:4358612 PMID:11148026 PMID:12788490 PMID:2842335 PMID:12791689 PMID:2163487 PMID:6294076 PMID:12377760 PMID:12782631 PMID:17383607 PMID:171256 PMID:16908520 }, sup=9 conf=1.0 lift=273.78
{ PMID:16597436 } => { GO:0005737 GO:0016020 GO:0005739 GO:0005740 PMID:16823961 PMID:14576278 GO:0006091 PMID:16641319 GO:0016491 PATH:00190 PMID:2826438 PMID:3036820 PMID:6088503 PMID:10692548 PMID:17145759 PMID:9478928 PMID:10971589 PMID:10764779 PMID:15039445 PMID:4309989 PMID:6282857 PMID:3036818 PMID:16987808 PMID:11700316 PMID:10531315 PMID:4358612 PMID:11148026 PMID:12788490 PMID:2842335 PMID:12791689 PMID:2163487 PMID:6294076 PMID:12377760 PMID:12782631 PMID:17383607 PMID:171256 PMID:16908520 }, sup=9 conf=1.0 lift=273.78
{ PMID:6088503 } => { GO:0005737 GO:0016020 GO:0005739 GO:0005740 PMID:16823961 PMID:14576278 GO:0006091 PMID:16641319 GO:0016491 PATH:00190 PMID:2826438 PMID:3036820 PMID:16597436 PMID:10692548 PMID:17145759 PMID:9478928 PMID:10971589 PMID:10764779 PMID:15039445 PMID:4309989 PMID:6282857 PMID:3036818 PMID:16987808 PMID:11700316 PMID:10531315 PMID:4358612 PMID:11148026 PMID:12788490 PMID:2842335 PMID:12791689 PMID:2163487 PMID:6294076 PMID:12377760 PMID:12782631 PMID:17383607 PMID:171256 PMID:16908520 }, sup=9 conf=1.0 lift=273.78
{ PMID:3036820 } => { GO:0005737 GO:0016020 GO:0005739 GO:0005740 PMID:16823961 PMID:14576278 GO:0006091 PMID:16641319 GO:0016491 PATH:00190 PMID:2826438 PMID:6088503 PMID:16597436 PMID:10692548 PMID:17145759 PMID:9478928 PMID:10971589 PMID:10764779 PMID:15039445 PMID:4309989 PMID:6282857 PMID:3036818 PMID:16987808 PMID:11700316 PMID:10531315 PMID:4358612 PMID:11148026 PMID:12788490 PMID:2842335 PMID:12791689 PMID:2163487 PMID:6294076 PMID:12377760 PMID:12782631 PMID:17383607 PMID:171256 PMID:16908520 }, sup=9 conf=1.0 lift=273.78
{ GO:0005737 } => { GO:0005739 PMID:16823961 PMID:14576278 }, sup=430 conf=0.27 lift=1.55
{ PMID:6996832 } => { GO:0006810 PMID:7026045 PMID:6343347 }, sup=22 conf=1.0 lift=112.0
{ PMID:6343347 } => { GO:0006810 PMID:7026045 PMID:6996832 }, sup=22 conf=1.0 lift=112.0
{ PMID:7026045 } => { GO:0006810 PMID:6343347 PMID:6996832 }, sup=22 conf=1.0 lift=112.0
{ PMID:12490706 } => { GO:0005737 GO:0005198 GO:0005840 GO:0006412 PMID:11433365 PATH:03010 PMID:5542014 }, sup=114 conf=0.98 lift=21.0
{ PMID:5542014 } => { GO:0005737 GO:0005198 GO:0005840 GO:0006412 PMID:11433365 PATH:03010 PMID:12490706 }, sup=114 conf=0.99 lift=21.03
{ PMID:5542014 PMID:12490706 } => { GO:0005737 GO:0005198 GO:0005840 GO:0006412 PMID:11433365 PATH:03010 }, sup=114 conf=1.0 lift=19.1
{ GO:0005739 } => { GO:0005737 PMID:16823961 PMID:14576278 }, sup=430 conf=0.81 lift=4.64
{ GO:0005739 } => { GO:0005737 }, sup=532 conf=1.0 lift=1.57
{ GO:0005737 } => { GO:0005739 }, sup=532 conf=0.34 lift=1.57
{ PMID:2070414 } => { GO:0016070 GO:0005634 GO:0006350 GO:0016740 PMID:12933997 PMID:15196460 PMID:16641319 PMID:9618449 GO:0016779 PATH:00230 PATH:00240 PATH:03020 PMID:16885163 PMID:1920413 PMID:17543890 PMID:15591044 PMID:14963322 PMID:17386259 PMID:8374298 PMID:10066729 PMID:9774381 PMID:10653691 PMID:16621069 PMID:12242279 PMID:15610738 PMID:17537816 PMID:10499797 PMID:12782794 PMID:12746498 PMID:782912 PMID:11342141 PMID:767338 PMID:15196470 PMID:3058514 PMID:12746495 PMID:9545247 PMID:15044803 PMID:17361130 PMID:780108 PMID:10756191 PMID:4370349 PMID:10322136 PMID:14580350 PMID:12692127 PMID:17132939 }, sup=11 conf=1.0 lift=224.0
{ PMID:780108 } => { GO:0016070 GO:0005634 GO:0006350 GO:0016740 PMID:12933997 PMID:15196460 PMID:16641319 PMID:9618449 GO:0016779 PATH:00230 PATH:00240 PATH:03020 PMID:16885163 PMID:1920413 PMID:17543890 PMID:15591044 PMID:14963322 PMID:17386259 PMID:8374298 PMID:10066729 PMID:9774381 PMID:10653691 PMID:16621069 PMID:12242279 PMID:15610738 PMID:17537816 PMID:10499797 PMID:12782794 PMID:12746498 PMID:782912 PMID:11342141 PMID:767338 PMID:15196470 PMID:3058514 PMID:12746495 PMID:9545247 PMID:15044803 PMID:17361130 PMID:2070414 PMID:10756191 PMID:4370349 PMID:10322136 PMID:14580350 PMID:12692127 PMID:17132939 }, sup=11 conf=1.0 lift=224.0
{ PMID:12746495 } => { GO:0016070 GO:0005634 GO:0006350 GO:0016740 PMID:12933997 PMID:15196460 PMID:16641319 PMID:9618449 GO:0016779 PATH:00230 PATH:00240 PATH:03020 PMID:16885163 PMID:1920413 PMID:17543890 PMID:15591044 PMID:14963322 PMID:17386259 PMID:8374298 PMID:10066729 PMID:9774381 PMID:10653691 PMID:16621069 PMID:12242279 PMID:15610738 PMID:17537816 PMID:10499797 PMID:12782794 PMID:12746498 PMID:782912 PMID:11342141 PMID:767338 PMID:15196470 PMID:3058514 PMID:9545247 PMID:15044803 PMID:17361130 PMID:780108 PMID:2070414 PMID:10756191 PMID:4370349 PMID:10322136 PMID:14580350 PMID:12692127 PMID:17132939 }, sup=11 conf=1.0 lift=224.0
